EMPLOYEE_ID	PMID
1000436	10595506
1000436	10600415
1000436	10601395
1000436	10686117
1000436	10694463
1000436	10739582
1000436	10775538
1000436	10928743
1000436	10931766
1000436	11099731
1000436	11108630
1000436	11117454
1000436	11193801
1000436	11310619
1000436	11345973
1000436	11352612
1000436	11506539
1000436	11525335
1000436	11733691
1000436	11771972
1000436	11848688
1000436	11865146
1000436	11906237
1000436	11934471
1000436	11969313
1000436	12112766
1000436	12169483
1000436	12187470
1000436	12202084
1000436	12377171
1000436	12414270
1000436	12417678
1000436	12509846
1000436	12629248
1000436	12667840
1000436	12682331
1000436	12756137
1000436	12757911
1000436	12803968
1000436	12811732
1000436	12833362
1000436	12880911
1000436	12883828
1000436	12888543
1000436	12925283
1000436	14561797
1000436	14568448
1000436	14650907
1000436	14747516
1000436	14967776
1000436	14978395
1000436	15072672
1000436	15148154
1000436	15174015
1000436	15183507
1000436	15330335
1000436	15340932
1000436	15371295
1000436	15447635
1000436	15453976
1000436	15505780
1000436	15622538
1000436	15660647
1000436	15668969
1000436	15699397
1000436	15746002
1000436	15893473
1000436	15930389
1000436	16040922
1000436	16148233
1000436	16315279
1000436	16436685
1000436	16543137
1000436	16574280
1000436	16594780
1000436	16912979
1000436	16950801
1000436	16978881
1000436	17159614
1000436	17210807
1000436	17264251
1000436	17287508
1000436	17344206
1000436	17522386
1000436	17764628
1000436	17804958
1000436	17826340
1000436	17884585
1000436	17939998
1000436	17958479
1000436	18056085
1000436	18090417
1000436	18090430
1000436	18268195
1000436	18305258
1000436	18308706
1000436	18412267
1000436	18511023
1000436	18550756
1000436	18580588
1000436	18602410
1000436	18603236
1000436	18614162
1000436	18631780
1000436	18852354
1000436	18991346
1000436	19160497
1000436	19376059
1000436	19506067
1000436	19618195
1000436	19689231
1000436	19700669
1000436	19710309
1000436	19861505
1000436	20008661
1000436	20016092
1000436	20154673
1000436	20361198
1000436	20479359
1000436	20660866
1000436	20798612
1000436	21178100
1000436	21325651
1000436	21346518
1000436	21368046
1000436	21460841
1000436	21482928
1000436	21606451
1000436	21666678
1000436	21748598
1000436	21810890
1000436	22209814
1000436	22244508
1000436	22300710
1000436	22482884
1000436	22492040
1000436	22522938
1000436	22525158
1000436	22556362
1000436	22579708
1000436	22713394
1000436	22713398
1000436	23062850
1000436	23143602
1000436	23198888
1000436	23361063
1000436	23378033
1000436	23396160
1000436	23471695
1000475	1344204
1000475	1418365
1000475	1527542
1000475	1736159
1000475	1879148
1000475	2098013
1000475	2252450
